Municipality,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Faxe,1426.0,2468.0,2570.0,2447.0,2224.0,1966.0,1985.0,1935.0,1767.0,1925.0,1511.0,1376.0,1231.0,1242.0,1022.0,1058.0,1341.0
Guldborgsund,3538.0,4524.0,5320.0,4406.0,4086.0,3768.0,4167.0,3848.0,3500.0,3876.0,3165.0,3172.0,3325.0,3009.0,2250.0,2381.0,2676.0
Holbæk,3225.0,5235.0,5657.0,5011.0,4407.0,4595.0,4789.0,3885.0,3140.0,3359.0,3415.0,3149.0,2861.0,3726.0,2480.0,2267.0,2498.0
Kalundborg,2416.0,4062.0,4184.0,3598.0,3425.0,3267.0,3008.0,2821.0,2318.0,2226.0,2115.0,2093.0,1795.0,1863.0,1824.0,1928.0,1759.0
Lolland,2413.0,3689.0,4206.0,3846.0,3568.0,3022.0,2889.0,3114.0,2452.0,3116.0,2857.0,2630.0,2976.0,2272.0,1744.0,1919.0,1977.0
Næstved,3851.0,5761.0,6143.0,5410.0,5158.0,5178.0,4592.0,4736.0,4385.0,4378.0,4673.0,3938.0,3492.0,3299.0,2683.0,3215.0,3420.0
Odsherred,1509.0,2126.0,2615.0,2733.0,2619.0,2554.0,2131.0,2092.0,1586.0,1703.0,2018.0,1962.0,1726.0,1779.0,1147.0,1564.0,1652.0
Ringsted,1781.0,2778.0,2775.0,2757.0,2302.0,2377.0,1964.0,1980.0,2177.0,1980.0,1894.0,1806.0,1444.0,1487.0,1430.0,1349.0,1408.0
Slagelse,4483.0,6663.0,6696.0,6448.0,6415.0,6499.0,5808.0,5607.0,5041.0,5385.0,5252.0,4553.0,4548.0,4785.0,3318.0,3388.0,4007.0
Sorø,1123.0,1910.0,1775.0,1948.0,1898.0,1705.0,1630.0,1771.0,1561.0,1656.0,1897.0,1484.0,1126.0,1154.0,879.0,946.0,1074.0
Stevns,566.0,888.0,894.0,982.0,844.0,794.0,823.0,758.0,658.0,608.0,660.0,616.0,553.0,584.0,493.0,654.0,703.0
